Part Number,Cycle time,Inj time,Plast time,Melt cushion,Switch MeltPr,Max MeltPr,SCF dosing,SCF inj open time,SCF OP drop,Max CavPr1,Max CavPr2,Max CavPr3,Max CavPr4,Barrel Z3,Barrel Z4,Barrel Z11,Barrel Z10,Barrel Z9,Barrel Z6,Barrel Z5,Barrel Z2,Barrel Z1,Max SCF MP,Hopper,Switch Stroke C,Plast str C,Barrel Z14,M clos time C,Locking time C,CF build time C,Oil ,CF diss time C,Unlock time C,MldOpen time C,Cool time C,Demolding,Pause time C,HoldPr time C,InjUAdv time C,InjURetr time C,PC pos3 OS bottom,Switch CavPr1,Switch CavPr2,Switch CavPr3,Switch CavPr4,Mold equivalent,APC ref stroke 0°,Visc index,PC pos3 OS top,PC pos3 ORS top,PC pos3 ORS bottom,PC pos1 OS bottom,PC pos1 OS top,PC pos1 ORS top,PC pos1 ORS bottom,PC pos2 OS bottom,PC pos2 OS top,PC pos2 ORS top,PC pos2 ORS bottom,MaxAr CavPr1,Area CavPr1,MaxAr MeltPr,MaxAr ResCrv 3,Area MeltPr,MaxAr Capac,MaxAr InjSpd,Area Capac,MaxAr InjStr,Area InjStr,Area InjSpd,MaxAr ResCrv 1,Area ResCrv 1,MaxAr ResCrv 2,Area ResCrv 2,SCF Inj MP Start,Area ResCrv 3,MaxAr ResCrv 4,Area ResCrv 4,MaxAr ResCrv 5,Area ResCrv 5,SCF OP inj start,SCF Inj end pos,SCF DP Set C,SCF Pre DP,Min SCF MP
11841170001,47,1.87,27,59,710,880,3.325,10,15,135,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11841170001,41,1.81,13,49,590,720,3.125,6,0,85,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11872370001,42,1.84,24,46,600,780,3.186,22,10,145,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11872370001,36,1.78,16,40,480,620,2.986,0,0,95,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11838780001,46,2.09,27,47,510,645,3.601,17,15,130,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11838780001,36,2.03,15,39,390,485,2.601,0,0,90,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
